Monero 'Wolfram Warptangent' (v0.10.0.0-34fcfcd)
Logging at log level 2 to /home/athan/dev/moneybit/hmonero/foo.log
2016-Oct-27 05:45:06.260806 Loading wallet...
2016-Oct-27 05:45:06.294075 Loaded wallet keys file, with public address: 48aPXdzu2Qt1KVVuPUunjeVTm6zf6Vg3kf38VhSCunCzQjWBzH3rpJjSwDgnE8ocJWYGeEqhEoBWqeoVwbyYs3se6cGdjTx
2016-Oct-27 05:45:06.409713 Trying to decrypt cache data
2016-Oct-27 05:45:07.848549 Block is already in blockchain: 0f65eb9f364716c55251f16afa49b1926102bdf22f45fa7de9b4e11dbd6a883d
2016-Oct-27 05:45:08.142924 Processed block: <9a0c4aa55171c3751a8404cfef995a158a6fd708e90d47dd10184c7688672ba4>, height 1166349, 3(0/3)ms
2016-Oct-27 05:45:08.148366 Processed block: <d7e7aa41bf814943a8503af6942b3cab7675e954be2def97e1aa6f66a0f20c9b>, height 1166350, 5(0/5)ms
2016-Oct-27 05:45:08.149406 Processed block: <232ea9e0e08581d25373c3692f7949403f6165e615694559e251e5e9bf831221>, height 1166351, 1(1/0)ms
2016-Oct-27 05:45:08.152184 Processed block: <5fc0a8aaba63c092958e4d0709c1c693a45ea12ecb12b54c22583e23ae9381bd>, height 1166352, 3(1/2)ms
2016-Oct-27 05:45:08.152472 Processed block: <eb66abcb46c6fef23df827c8f1a86fda92765331ccb620ef69ef21612d181bf6>, height 1166353, 0(0/0)ms
2016-Oct-27 05:45:08.152725 Processed block: <f205939691d42457c9c24f791031da80edc372b6a069cfcdf59efb7a9087314f>, height 1166354, 1(1/0)ms
2016-Oct-27 05:45:08.157552 Processed block: <133ca15a3d6063c145f3ea8e7a3f2381cb80912f532d4a7bcf2f2c2c2a0a4576>, height 1166355, 4(0/4)ms
2016-Oct-27 05:45:08.166110 Processed block: <9312619c9a09d9be79d7e8b7d85bf572a2d21e71d38b5b7f50ba678115060555>, height 1166356, 9(1/8)ms
2016-Oct-27 05:45:08.169156 Processed block: <08e89f516a1d8b901c54702acbb7c3b941cc5a369c2cb0ed51af758bdca3004b>, height 1166357, 3(0/3)ms
2016-Oct-27 05:45:08.170264 Processed block: <3b12b94ce6e4f209b745d97a3f6daa25239b436e755ffcc71f53d955cd5322b4>, height 1166358, 1(0/1)ms
2016-Oct-27 05:45:08.175122 Processed block: <51708de439b45bf898a5ca18149b01d4c393e433d8828510bf33bba026828e89>, height 1166359, 5(1/4)ms
2016-Oct-27 05:45:08.175406 Processed block: <fc7ab7d534c7edf8868442c139a4d8b89aa89a819c96a1face79552dc76e675a>, height 1166360, 0(0/0)ms
2016-Oct-27 05:45:08.186545 Processed block: <b6eaa1b32a587293ab14acebb23ad33b6f9ab7954d25507603548d8ddb74a574>, height 1166361, 11(1/10)ms
2016-Oct-27 05:45:08.187654 Processed block: <cae55d0c4313aea94462bf206966aa0960797660f4cd3985af7ebdc0bdd19788>, height 1166362, 2(1/1)ms
2016-Oct-27 05:45:08.190968 Processed block: <36d72abcfe14478a4ff3a4b7a22a87e25f4b76d3b3dc3068a941341ab50a1833>, height 1166363, 3(0/3)ms
2016-Oct-27 05:45:08.194643 Processed block: <3ff3adf6b6c41f8b1718ecf1acc93f83ccd9fe20574f824ac7a9526359bb1356>, height 1166364, 3(0/3)ms
2016-Oct-27 05:45:08.195079 Processed block: <f922e97ac629381c7a9cb709ae4d3580aadcaf4ea58c2f8def2849892b3c9936>, height 1166365, 0(0/0)ms
2016-Oct-27 05:45:08.197550 Processed block: <fc4a3567dcf2678309f0d63626fe4ddf3aaec319faeb69c082518dcd12952f0c>, height 1166366, 2(0/2)ms
2016-Oct-27 05:45:08.198114 Processed block: <73e3b229f8c149ef4670fec8045ce085817ddcca5a1d738c3d6db5efd1928629>, height 1166367, 0(0/0)ms
2016-Oct-27 05:45:08.202400 Processed block: <fea00f2218eea82739a456aa6fcaebf55ce2754b5270c15509f630fb034550bf>, height 1166368, 4(0/4)ms
2016-Oct-27 05:45:08.202824 Processed block: <321ad385cc20e2770e936aa3c9268df63ca5026898a488f9e7fc5d2aebf30cba>, height 1166369, 1(1/0)ms
2016-Oct-27 05:45:08.206439 Processed block: <46c693ce964531cc87e725d322befd659526309df23d91113bf3aa5f15d1eab2>, height 1166370, 3(0/3)ms
2016-Oct-27 05:45:08.232849 Processed block: <8a4f9ba8aaf9773428b573710e8417c6db216636475c9b1bfc8ba93263d0d11c>, height 1166371, 26(0/26)ms
2016-Oct-27 05:45:08.233256 Processed block: <8d9cd1b56dfd110cf6e27f57642210b70c46ee4cb4dad0004573ec681893671d>, height 1166372, 0(0/0)ms
2016-Oct-27 05:45:08.237217 Processed block: <8d7091df3129fc68ced60d6eaee431df380293a12b220f50ad564af17f78e175>, height 1166373, 4(1/3)ms
2016-Oct-27 05:45:08.237654 Processed block: <9fe307576234b3b0b42035ac859197e352a24b8ad00dd18c27650168abff225d>, height 1166374, 1(1/0)ms
2016-Oct-27 05:45:08.238196 Processed block: <e30f8ddea0424f4f81b3294276ecaee2fb51eff9159fec0273bd9923c3262dfb>, height 1166375, 0(0/0)ms
2016-Oct-27 05:45:08.255607 Processed block: <cf02dc14c5656470094e1d7642e58b9a20beb6da1a671fc35de71e221d0da58a>, height 1166376, 18(0/18)ms
2016-Oct-27 05:45:08.256029 Processed block: <dab14792ee7c0969bd6bfeb1951871e39a085a40607bdd28cea21535c797466c>, height 1166377, 0(0/0)ms
2016-Oct-27 05:45:08.260106 Processed block: <20a87f4d54b97ed1de43cc05a14f07c15cfb1a9f63e9527ddefa286bfcc94710>, height 1166378, 4(0/4)ms
2016-Oct-27 05:45:08.261460 Processed block: <fdb287611c37f19b79cad780c3efa6ee06abda1a7d61c08076e39c1416f4d266>, height 1166379, 1(1/0)ms
2016-Oct-27 05:45:08.261861 Processed block: <f9d9f8bafe66745fa551a2b408c1b384fcdf7cafc116ec8d5d9b813eff48bcfd>, height 1166380, 1(1/0)ms
