Monero 'Wolfram Warptangent' (v0.10.0.0-release)
Logging at log level 2 to /home/athan/dev/moneybit/hmonero/bar.log
2016-Oct-05 22:52:39.236257 Skipped block by height: 185000
2016-Oct-05 22:52:39.236316 Skipped block by height: 186000
2016-Oct-05 22:52:39.236379 Skipped block by height: 187000
2016-Oct-05 22:52:39.236439 Skipped block by height: 188000
2016-Oct-05 22:52:39.236501 Skipped block by height: 189000
2016-Oct-05 22:52:39.572735 Skipped block by height: 190000
2016-Oct-05 22:52:39.573010 Skipped block by height: 191000
2016-Oct-05 22:52:39.573076 Skipped block by height: 192000
2016-Oct-05 22:52:39.573140 Skipped block by height: 193000
2016-Oct-05 22:52:39.573205 Skipped block by height: 194000
2016-Oct-05 22:52:39.573268 Skipped block by height: 195000
2016-Oct-05 22:52:39.573331 Skipped block by height: 196000
2016-Oct-05 22:52:39.573412 Skipped block by height: 197000
2016-Oct-05 22:52:39.573474 Skipped block by height: 198000
2016-Oct-05 22:52:39.573554 Skipped block by height: 199000
2016-Oct-05 22:52:39.937111 Skipped block by height: 200000
2016-Oct-05 22:52:39.937393 Skipped block by height: 201000
2016-Oct-05 22:52:39.937459 Skipped block by height: 202000
2016-Oct-05 22:52:39.937521 Skipped block by height: 203000
2016-Oct-05 22:52:39.937585 Skipped block by height: 204000
2016-Oct-05 22:52:39.937650 Skipped block by height: 205000
2016-Oct-05 22:52:39.937713 Skipped block by height: 206000
2016-Oct-05 22:52:39.937777 Skipped block by height: 207000
2016-Oct-05 22:52:39.937842 Skipped block by height: 208000
2016-Oct-05 22:52:39.937905 Skipped block by height: 209000
2016-Oct-05 22:52:40.305952 Skipped block by height: 210000
2016-Oct-05 22:52:40.306228 Skipped block by height: 211000
2016-Oct-05 22:52:40.306294 Skipped block by height: 212000
2016-Oct-05 22:52:40.306356 Skipped block by height: 213000
2016-Oct-05 22:52:40.306420 Skipped block by height: 214000
2016-Oct-05 22:52:40.306484 Skipped block by height: 215000
2016-Oct-05 22:52:40.306547 Skipped block by height: 216000
2016-Oct-05 22:52:40.306610 Skipped block by height: 217000
2016-Oct-05 22:52:40.306673 Skipped block by height: 218000
2016-Oct-05 22:52:40.306737 Skipped block by height: 219000
2016-Oct-05 22:52:40.623827 Skipped block by height: 220000
2016-Oct-05 22:52:40.624083 Skipped block by height: 221000
2016-Oct-05 22:52:40.624143 Skipped block by height: 222000
2016-Oct-05 22:52:40.624198 Skipped block by height: 223000
2016-Oct-05 22:52:40.624256 Skipped block by height: 224000
2016-Oct-05 22:52:40.624312 Skipped block by height: 225000
2016-Oct-05 22:52:40.624369 Skipped block by height: 226000
2016-Oct-05 22:52:40.624427 Skipped block by height: 227000
2016-Oct-05 22:52:40.624483 Skipped block by height: 228000
2016-Oct-05 22:52:40.624540 Skipped block by height: 229000
2016-Oct-05 22:52:40.978857 Skipped block by height: 230000
2016-Oct-05 22:52:40.979114 Skipped block by height: 231000
2016-Oct-05 22:52:40.979174 Skipped block by height: 232000
2016-Oct-05 22:52:40.979231 Skipped block by height: 233000
2016-Oct-05 22:52:40.979289 Skipped block by height: 234000
2016-Oct-05 22:52:40.979345 Skipped block by height: 235000
2016-Oct-05 22:52:40.979399 Skipped block by height: 236000
2016-Oct-05 22:52:40.979457 Skipped block by height: 237000
2016-Oct-05 22:52:40.979514 Skipped block by height: 238000
2016-Oct-05 22:52:40.979599 Skipped block by height: 239000
2016-Oct-05 22:52:41.400940 Skipped block by height: 240000
2016-Oct-05 22:52:41.401222 Skipped block by height: 241000
2016-Oct-05 22:52:41.401289 Skipped block by height: 242000
2016-Oct-05 22:52:41.401352 Skipped block by height: 243000
2016-Oct-05 22:52:41.401416 Skipped block by height: 244000
2016-Oct-05 22:52:41.401481 Skipped block by height: 245000
2016-Oct-05 22:52:41.401542 Skipped block by height: 246000
2016-Oct-05 22:52:41.401616 Skipped block by height: 247000
2016-Oct-05 22:52:41.401690 Skipped block by height: 248000
2016-Oct-05 22:52:41.401767 Skipped block by height: 249000
2016-Oct-05 22:52:41.765586 Skipped block by height: 250000
2016-Oct-05 22:52:41.765879 Skipped block by height: 251000
2016-Oct-05 22:52:41.765960 Skipped block by height: 252000
2016-Oct-05 22:52:41.766038 Skipped block by height: 253000
2016-Oct-05 22:52:41.766114 Skipped block by height: 254000
2016-Oct-05 22:52:41.766192 Skipped block by height: 255000
